horizon,block_id,acc_bal,mcc_macro,f1_up,f1_down,n_test,calibrator,tau_used
1,2,0.3910945685139233,0.10769260387517036,0.0,0.4132231404958678,146,isotonic,0.6849999999999999
1,3,0.3565493646138807,0.05280133430719894,0.0,0.30952380952380953,146,isotonic,0.5
1,4,0.37068452380952377,0.0610835931647653,0.11320754716981131,0.34920634920634924,146,isotonic,0.5
1,5,0.33658076681332494,0.0394669637460395,0.04347826086956522,0.0,149,isotonic,0.5
3,2,0.34509291521486646,0.017755600411340562,0.0,0.4225352112676056,146,isotonic,0.9299999999999999
3,3,0.2870152505446623,-0.097069226122641,0.08450704225352114,0.03636363636363636,146,isotonic,0.5
3,4,0.41594069152208685,0.12406986853781483,0.21052631578947367,0.48979591836734687,146,isotonic,0.5
3,5,0.34502768549280177,0.041752304981742205,0.1090909090909091,0.07017543859649122,149,isotonic,0.5
5,2,0.407312925170068,0.12067934964231603,0.0,0.4929577464788732,146,isotonic,0.76
5,3,0.2901798400519628,-0.0741820927919967,0.03125,0.2545454545454546,146,isotonic,0.5
5,4,0.33134920634920634,0.00523944425138956,0.07692307692307693,0.5,146,isotonic,0.5
5,5,0.3551991101713581,0.037268669059357905,0.09999999999999999,0.3652173913043478,149,isotonic,0.5
